case_id,case_title,offence_category,legal_section,fir_number,date_opened,description,status,police_station,district,state,location_id
CASE-167,Synthetic Case Record 167 — Property Offence — North Delhi,Property Offence,IPC 425,FIR-SYNTH-NOR-0167,2023-08-03,"Synthetic case record regarding property offence in fictional scenario 167. District: North Delhi, State: Delhi. For demonstration purposes only.",CLOSED,"Fictional PS No.19, Delhi",North Delhi,Delhi,LOCATION-026
CASE-168,Synthetic Case Record 168 — Forgery — Jaipur,Forgery,IPC 465,FIR-SYNTH-JAI-0168,2022-11-23,"Synthetic case record regarding forgery in fictional scenario 168. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CLOSED,"Fictional PS No.7, Jaipur",Jaipur,Rajasthan,LOCATION-034
CASE-169,Synthetic Case Record 169 — Criminal Intimidation — Kolkata,Criminal Intimidation,IPC 506,FIR-SYNTH-KOL-0169,2023-04-23,"Synthetic case record regarding criminal intimidation in fictional scenario 169. District: Kolkata, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.3, Kolkata",Kolkata,West Bengal,LOCATION-001
CASE-170,Synthetic Case Record 170 — Attempted Murder — Raipur,Attempted Murder,IPC 307,FIR-SYNTH-RAI-0170,2021-03-11,"Synthetic case record regarding attempted murder in fictional scenario 170. District: Raipur, State: Chhattisgarh. For demonstration purposes only.",OPEN,"Fictional PS No.9, Raipur",Raipur,Chhattisgarh,LOCATION-013
CASE-171,Synthetic Case Record 171 — Criminal Intimidation — Kanpur Nagar,Criminal Intimidation,IPC 506,FIR-SYNTH-KAN-0171,2024-07-30,"Synthetic case record regarding criminal intimidation in fictional scenario 171. District: Kanpur Nagar, State: Uttar Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.7, Kanpur",Kanpur Nagar,Uttar Pradesh,LOCATION-039
CASE-172,Synthetic Case Record 172 — Robbery — Mumbai City,Robbery,IPC 392,FIR-SYNTH-MUM-0172,2023-02-09,"Synthetic case record regarding robbery in fictional scenario 172. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.20, Mumbai",Mumbai City,Maharashtra,LOCATION-009
CASE-173,Synthetic Case Record 173 — Kidnapping — Bhopal,Kidnapping,IPC 363,FIR-SYNTH-BHO-0173,2023-08-15,"Synthetic case record regarding kidnapping in fictional scenario 173. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.9, Bhopal",Bhopal,Madhya Pradesh,LOCATION-019
CASE-174,Synthetic Case Record 174 — Property Offence — Bhopal,Property Offence,IPC 425,FIR-SYNTH-BHO-0174,2021-11-28,"Synthetic case record regarding property offence in fictional scenario 174. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.11, Bhopal",Bhopal,Madhya Pradesh,LOCATION-017
CASE-175,Synthetic Case Record 175 — Murder — Bengaluru Rural,Murder,IPC 302,FIR-SYNTH-BEN-0175,2025-07-23,"Synthetic case record regarding murder in fictional scenario 175. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.2, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-017
CASE-176,Synthetic Case Record 176 — Extortion — Pune,Extortion,IPC 384,FIR-SYNTH-PUN-0176,2024-08-14,"Synthetic case record regarding extortion in fictional scenario 176. District: Pune, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.13, Pune",Pune,Maharashtra,LOCATION-012
CASE-177,Synthetic Case Record 177 — Property Offence — Patna,Property Offence,IPC 425,FIR-SYNTH-PAT-0177,2025-01-05,"Synthetic case record regarding property offence in fictional scenario 177. District: Patna, State: Bihar. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.4, Patna",Patna,Bihar,LOCATION-029
CASE-178,Synthetic Case Record 178 — Cybercrime — Jaipur,Cybercrime,IT Act 66C,FIR-SYNTH-JAI-0178,2021-02-08,"Synthetic case record regarding cybercrime in fictional scenario 178. District: Jaipur, State: Rajasthan. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.9, Jaipur",Jaipur,Rajasthan,LOCATION-029
CASE-179,Synthetic Case Record 179 — Attempted Murder — Bengaluru Rural,Attempted Murder,IPC 307,FIR-SYNTH-BEN-0179,2023-03-13,"Synthetic case record regarding attempted murder in fictional scenario 179. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",OPEN,"Fictional PS No.5, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-022
CASE-180,Synthetic Case Record 180 — Criminal Intimidation — Bengaluru Rural,Criminal Intimidation,IPC 506,FIR-SYNTH-BEN-0180,2022-04-08,"Synthetic case record regarding criminal intimidation in fictional scenario 180. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",OPEN,"Fictional PS No.3, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-035
CASE-181,Synthetic Case Record 181 — Burglary — Jaipur,Burglary,IPC 457,FIR-SYNTH-JAI-0181,2024-10-28,"Synthetic case record regarding burglary in fictional scenario 181. District: Jaipur, State: Rajasthan. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.12, Jaipur",Jaipur,Rajasthan,LOCATION-022
CASE-182,Synthetic Case Record 182 — Criminal Intimidation — Surat,Criminal Intimidation,IPC 506,FIR-SYNTH-SUR-0182,2025-09-19,"Synthetic case record regarding criminal intimidation in fictional scenario 182. District: Surat, State: Gujarat. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.11, Surat",Surat,Gujarat,LOCATION-006
CASE-183,Synthetic Case Record 183 — Property Offence — South Delhi,Property Offence,IPC 425,FIR-SYNTH-SOU-0183,2024-02-10,"Synthetic case record regarding property offence in fictional scenario 183. District: South Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.7, Delhi",South Delhi,Delhi,LOCATION-012
CASE-184,Synthetic Case Record 184 — Fraud — Kanpur Nagar,Fraud,IPC 420,FIR-SYNTH-KAN-0184,2021-08-07,"Synthetic case record regarding fraud in fictional scenario 184. District: Kanpur Nagar, State: Uttar Pradesh. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.10, Kanpur",Kanpur Nagar,Uttar Pradesh,LOCATION-025
CASE-185,Synthetic Case Record 185 — Theft — Mumbai Suburban,Theft,IPC 379,FIR-SYNTH-MUM-0185,2025-01-14,"Synthetic case record regarding theft in fictional scenario 185. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.7, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-002
CASE-186,Synthetic Case Record 186 — Attempted Murder — Lucknow,Attempted Murder,IPC 307,FIR-SYNTH-LUC-0186,2025-09-05,"Synthetic case record regarding attempted murder in fictional scenario 186. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.16, Lucknow",Lucknow,Uttar Pradesh,LOCATION-035
CASE-187,Synthetic Case Record 187 — Theft — Kolkata,Theft,IPC 379,FIR-SYNTH-KOL-0187,2022-11-23,"Synthetic case record regarding theft in fictional scenario 187. District: Kolkata, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.11, Kolkata",Kolkata,West Bengal,LOCATION-004
CASE-188,Synthetic Case Record 188 — Burglary — Kanpur Nagar,Burglary,IPC 457,FIR-SYNTH-KAN-0188,2021-11-02,"Synthetic case record regarding burglary in fictional scenario 188. District: Kanpur Nagar, State: Uttar Pradesh. For demonstration purposes only.",CLOSED,"Fictional PS No.15, Kanpur",Kanpur Nagar,Uttar Pradesh,LOCATION-035
CASE-189,Synthetic Case Record 189 — Cybercrime — North 24 Parganas,Cybercrime,IT Act 66C,FIR-SYNTH-NOR-0189,2024-09-01,"Synthetic case record regarding cybercrime in fictional scenario 189. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.5, Kolkata",North 24 Parganas,West Bengal,LOCATION-032
CASE-190,Synthetic Case Record 190 — Kidnapping — Lucknow,Kidnapping,IPC 363,FIR-SYNTH-LUC-0190,2024-07-19,"Synthetic case record regarding kidnapping in fictional scenario 190. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.1, Lucknow",Lucknow,Uttar Pradesh,LOCATION-012
CASE-191,Synthetic Case Record 191 — Assault — Mumbai City,Assault,IPC 323,FIR-SYNTH-MUM-0191,2025-09-07,"Synthetic case record regarding assault in fictional scenario 191. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.20, Mumbai",Mumbai City,Maharashtra,LOCATION-011
CASE-192,Synthetic Case Record 192 — Robbery — Mumbai City,Robbery,IPC 392,FIR-SYNTH-MUM-0192,2025-06-25,"Synthetic case record regarding robbery in fictional scenario 192. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.16, Mumbai",Mumbai City,Maharashtra,LOCATION-039
CASE-193,Synthetic Case Record 193 — Forgery — East Delhi,Forgery,IPC 465,FIR-SYNTH-EAS-0193,2021-09-05,"Synthetic case record regarding forgery in fictional scenario 193. District: East Delhi, State: Delhi. For demonstration purposes only.",CLOSED,"Fictional PS No.13, Delhi",East Delhi,Delhi,LOCATION-021
CASE-194,Synthetic Case Record 194 — Extortion — North 24 Parganas,Extortion,IPC 384,FIR-SYNTH-NOR-0194,2021-05-10,"Synthetic case record regarding extortion in fictional scenario 194. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.6, Kolkata",North 24 Parganas,West Bengal,LOCATION-022
CASE-195,Synthetic Case Record 195 — Burglary — Bengaluru Urban,Burglary,IPC 457,FIR-SYNTH-BEN-0195,2022-05-14,"Synthetic case record regarding burglary in fictional scenario 195. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",OPEN,"Fictional PS No.6, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-029
CASE-196,Synthetic Case Record 196 — Theft — Thane,Theft,IPC 379,FIR-SYNTH-THA-0196,2021-01-14,"Synthetic case record regarding theft in fictional scenario 196. District: Thane, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.16, Thane",Thane,Maharashtra,LOCATION-006
CASE-197,Synthetic Case Record 197 — Extortion — Lucknow,Extortion,IPC 384,FIR-SYNTH-LUC-0197,2024-11-21,"Synthetic case record regarding extortion in fictional scenario 197. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.10, Lucknow",Lucknow,Uttar Pradesh,LOCATION-027
CASE-198,Synthetic Case Record 198 — Kidnapping — Pune,Kidnapping,IPC 363,FIR-SYNTH-PUN-0198,2023-07-12,"Synthetic case record regarding kidnapping in fictional scenario 198. District: Pune, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.9, Pune",Pune,Maharashtra,LOCATION-034
CASE-199,Synthetic Case Record 199 — Theft — Bhopal,Theft,IPC 379,FIR-SYNTH-BHO-0199,2025-01-08,"Synthetic case record regarding theft in fictional scenario 199. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.20, Bhopal",Bhopal,Madhya Pradesh,LOCATION-012
CASE-200,Synthetic Case Record 200 — Murder — South Delhi,Murder,IPC 302,FIR-SYNTH-SOU-0200,2024-02-17,"Synthetic case record regarding murder in fictional scenario 200. District: South Delhi, State: Delhi. For demonstration purposes only.",CLOSED,"Fictional PS No.14, Delhi",South Delhi,Delhi,LOCATION-001
CASE-201,Synthetic Case Record 201 — Burglary — Nagpur,Burglary,IPC 457,FIR-SYNTH-NAG-0201,2023-08-09,"Synthetic case record regarding burglary in fictional scenario 201. District: Nagpur, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.17, Nagpur",Nagpur,Maharashtra,LOCATION-015
CASE-202,Synthetic Case Record 202 — Property Offence — Mumbai Suburban,Property Offence,IPC 425,FIR-SYNTH-MUM-0202,2021-12-28,"Synthetic case record regarding property offence in fictional scenario 202. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.16, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-032
CASE-203,Synthetic Case Record 203 — Theft — North 24 Parganas,Theft,IPC 379,FIR-SYNTH-NOR-0203,2022-03-06,"Synthetic case record regarding theft in fictional scenario 203. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.12, Kolkata",North 24 Parganas,West Bengal,LOCATION-019
CASE-204,Synthetic Case Record 204 — Cybercrime — Mumbai City,Cybercrime,IT Act 66C,FIR-SYNTH-MUM-0204,2021-12-27,"Synthetic case record regarding cybercrime in fictional scenario 204. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.2, Mumbai",Mumbai City,Maharashtra,LOCATION-035
CASE-205,Synthetic Case Record 205 — Burglary — Rangareddy,Burglary,IPC 457,FIR-SYNTH-RAN-0205,2022-04-27,"Synthetic case record regarding burglary in fictional scenario 205. District: Rangareddy, State: Telangana. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.4, Hyderabad",Rangareddy,Telangana,LOCATION-005
CASE-206,Synthetic Case Record 206 — Property Offence — Raipur,Property Offence,IPC 425,FIR-SYNTH-RAI-0206,2025-05-15,"Synthetic case record regarding property offence in fictional scenario 206. District: Raipur, State: Chhattisgarh. For demonstration purposes only.",OPEN,"Fictional PS No.11, Raipur",Raipur,Chhattisgarh,LOCATION-015
CASE-207,Synthetic Case Record 207 — Molestation — Raipur,Molestation,IPC 354,FIR-SYNTH-RAI-0207,2025-12-31,"Synthetic case record regarding molestation in fictional scenario 207. District: Raipur, State: Chhattisgarh. For demonstration purposes only.",CLOSED,"Fictional PS No.7, Raipur",Raipur,Chhattisgarh,LOCATION-025
CASE-208,Synthetic Case Record 208 — Fraud — Mumbai Suburban,Fraud,IPC 420,FIR-SYNTH-MUM-0208,2021-12-31,"Synthetic case record regarding fraud in fictional scenario 208. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.20, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-030
CASE-209,Synthetic Case Record 209 — Murder — Lucknow,Murder,IPC 302,FIR-SYNTH-LUC-0209,2022-11-19,"Synthetic case record regarding murder in fictional scenario 209. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",CLOSED,"Fictional PS No.9, Lucknow",Lucknow,Uttar Pradesh,LOCATION-013
CASE-210,Synthetic Case Record 210 — Criminal Intimidation — Mumbai City,Criminal Intimidation,IPC 506,FIR-SYNTH-MUM-0210,2023-05-07,"Synthetic case record regarding criminal intimidation in fictional scenario 210. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.15, Mumbai",Mumbai City,Maharashtra,LOCATION-030
CASE-211,Synthetic Case Record 211 — Attempted Murder — Central Delhi,Attempted Murder,IPC 307,FIR-SYNTH-CEN-0211,2025-06-05,"Synthetic case record regarding attempted murder in fictional scenario 211. District: Central Delhi, State: Delhi. For demonstration purposes only.",CLOSED,"Fictional PS No.20, Delhi",Central Delhi,Delhi,LOCATION-011
CASE-212,Synthetic Case Record 212 — Assault — Ahmedabad,Assault,IPC 323,FIR-SYNTH-AHM-0212,2023-08-28,"Synthetic case record regarding assault in fictional scenario 212. District: Ahmedabad, State: Gujarat. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.7, Ahmedabad",Ahmedabad,Gujarat,LOCATION-038
CASE-213,Synthetic Case Record 213 — Murder — Central Delhi,Murder,IPC 302,FIR-SYNTH-CEN-0213,2022-04-01,"Synthetic case record regarding murder in fictional scenario 213. District: Central Delhi, State: Delhi. For demonstration purposes only.",CLOSED,"Fictional PS No.14, Delhi",Central Delhi,Delhi,LOCATION-038
CASE-214,Synthetic Case Record 214 — Molestation — Kolkata,Molestation,IPC 354,FIR-SYNTH-KOL-0214,2023-08-22,"Synthetic case record regarding molestation in fictional scenario 214. District: Kolkata, State: West Bengal. For demonstration purposes only.",OPEN,"Fictional PS No.2, Kolkata",Kolkata,West Bengal,LOCATION-003
CASE-215,Synthetic Case Record 215 — Assault — Mumbai City,Assault,IPC 323,FIR-SYNTH-MUM-0215,2021-06-20,"Synthetic case record regarding assault in fictional scenario 215. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.16, Mumbai",Mumbai City,Maharashtra,LOCATION-016
CASE-216,Synthetic Case Record 216 — Fraud — Chennai,Fraud,IPC 420,FIR-SYNTH-CHE-0216,2022-08-29,"Synthetic case record regarding fraud in fictional scenario 216. District: Chennai, State: Tamil Nadu. For demonstration purposes only.",CLOSED,"Fictional PS No.5, Chennai",Chennai,Tamil Nadu,LOCATION-023
CASE-217,Synthetic Case Record 217 — Property Offence — Rangareddy,Property Offence,IPC 425,FIR-SYNTH-RAN-0217,2024-12-11,"Synthetic case record regarding property offence in fictional scenario 217. District: Rangareddy, State: Telangana. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.10, Hyderabad",Rangareddy,Telangana,LOCATION-011
CASE-218,Synthetic Case Record 218 — Extortion — Raipur,Extortion,IPC 384,FIR-SYNTH-RAI-0218,2023-08-08,"Synthetic case record regarding extortion in fictional scenario 218. District: Raipur, State: Chhattisgarh. For demonstration purposes only.",CLOSED,"Fictional PS No.1, Raipur",Raipur,Chhattisgarh,LOCATION-030
CASE-219,Synthetic Case Record 219 — Kidnapping — Bengaluru Rural,Kidnapping,IPC 363,FIR-SYNTH-BEN-0219,2024-12-12,"Synthetic case record regarding kidnapping in fictional scenario 219. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",OPEN,"Fictional PS No.12, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-030
CASE-220,Synthetic Case Record 220 — Molestation — Howrah,Molestation,IPC 354,FIR-SYNTH-HOW-0220,2021-03-08,"Synthetic case record regarding molestation in fictional scenario 220. District: Howrah, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.11, Howrah",Howrah,West Bengal,LOCATION-034
CASE-221,Synthetic Case Record 221 — Extortion — Surat,Extortion,IPC 384,FIR-SYNTH-SUR-0221,2024-06-24,"Synthetic case record regarding extortion in fictional scenario 221. District: Surat, State: Gujarat. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.7, Surat",Surat,Gujarat,LOCATION-006
CASE-222,Synthetic Case Record 222 — Burglary — North 24 Parganas,Burglary,IPC 457,FIR-SYNTH-NOR-0222,2021-08-16,"Synthetic case record regarding burglary in fictional scenario 222. District: North 24 Parganas, State: West Bengal. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.12, Kolkata",North 24 Parganas,West Bengal,LOCATION-004
CASE-223,Synthetic Case Record 223 — Burglary — Lucknow,Burglary,IPC 457,FIR-SYNTH-LUC-0223,2024-12-23,"Synthetic case record regarding burglary in fictional scenario 223. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",CLOSED,"Fictional PS No.3, Lucknow",Lucknow,Uttar Pradesh,LOCATION-036
CASE-224,Synthetic Case Record 224 — Property Offence — Mumbai City,Property Offence,IPC 425,FIR-SYNTH-MUM-0224,2025-11-20,"Synthetic case record regarding property offence in fictional scenario 224. District: Mumbai City, State: Maharashtra. For demonstration purposes only.",CLOSED,"Fictional PS No.16, Mumbai",Mumbai City,Maharashtra,LOCATION-038
CASE-225,Synthetic Case Record 225 — Fraud — Nagpur,Fraud,IPC 420,FIR-SYNTH-NAG-0225,2022-07-02,"Synthetic case record regarding fraud in fictional scenario 225. District: Nagpur, State: Maharashtra. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.11, Nagpur",Nagpur,Maharashtra,LOCATION-023
CASE-226,Synthetic Case Record 226 — Assault — Bengaluru Urban,Assault,IPC 323,FIR-SYNTH-BEN-0226,2023-12-15,"Synthetic case record regarding assault in fictional scenario 226. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",OPEN,"Fictional PS No.16, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-033
CASE-227,Synthetic Case Record 227 — Extortion — Hyderabad,Extortion,IPC 384,FIR-SYNTH-HYD-0227,2022-01-21,"Synthetic case record regarding extortion in fictional scenario 227. District: Hyderabad, State: Telangana. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.12, Hyderabad",Hyderabad,Telangana,LOCATION-005
CASE-228,Synthetic Case Record 228 — Robbery — Howrah,Robbery,IPC 392,FIR-SYNTH-HOW-0228,2021-08-18,"Synthetic case record regarding robbery in fictional scenario 228. District: Howrah, State: West Bengal. For demonstration purposes only.",CLOSED,"Fictional PS No.6, Howrah",Howrah,West Bengal,LOCATION-018
CASE-229,Synthetic Case Record 229 — Theft — Lucknow,Theft,IPC 379,FIR-SYNTH-LUC-0229,2024-10-29,"Synthetic case record regarding theft in fictional scenario 229. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",CLOSED,"Fictional PS No.10, Lucknow",Lucknow,Uttar Pradesh,LOCATION-027
CASE-230,Synthetic Case Record 230 — Theft — Lucknow,Theft,IPC 379,FIR-SYNTH-LUC-0230,2021-05-09,"Synthetic case record regarding theft in fictional scenario 230. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.10, Lucknow",Lucknow,Uttar Pradesh,LOCATION-013
CASE-231,Synthetic Case Record 231 — Criminal Intimidation — Central Delhi,Criminal Intimidation,IPC 506,FIR-SYNTH-CEN-0231,2023-04-24,"Synthetic case record regarding criminal intimidation in fictional scenario 231. District: Central Delhi, State: Delhi. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.17, Delhi",Central Delhi,Delhi,LOCATION-022
CASE-232,Synthetic Case Record 232 — Assault — East Delhi,Assault,IPC 323,FIR-SYNTH-EAS-0232,2025-09-21,"Synthetic case record regarding assault in fictional scenario 232. District: East Delhi, State: Delhi. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.19, Delhi",East Delhi,Delhi,LOCATION-034
CASE-233,Synthetic Case Record 233 — Fraud — North Delhi,Fraud,IPC 420,FIR-SYNTH-NOR-0233,2022-08-14,"Synthetic case record regarding fraud in fictional scenario 233. District: North Delhi, State: Delhi. For demonstration purposes only.",OPEN,"Fictional PS No.16, Delhi",North Delhi,Delhi,LOCATION-024
CASE-234,Synthetic Case Record 234 — Kidnapping — Patna,Kidnapping,IPC 363,FIR-SYNTH-PAT-0234,2022-01-09,"Synthetic case record regarding kidnapping in fictional scenario 234. District: Patna, State: Bihar. For demonstration purposes only.",CLOSED,"Fictional PS No.18, Patna",Patna,Bihar,LOCATION-019
CASE-235,Synthetic Case Record 235 — Property Offence — Bhopal,Property Offence,IPC 425,FIR-SYNTH-BHO-0235,2022-05-03,"Synthetic case record regarding property offence in fictional scenario 235. District: Bhopal, State: Madhya Pradesh. For demonstration purposes only.",OPEN,"Fictional PS No.5, Bhopal",Bhopal,Madhya Pradesh,LOCATION-011
CASE-236,Synthetic Case Record 236 — Attempted Murder — Hyderabad,Attempted Murder,IPC 307,FIR-SYNTH-HYD-0236,2022-02-25,"Synthetic case record regarding attempted murder in fictional scenario 236. District: Hyderabad, State: Telangana. For demonstration purposes only.",OPEN,"Fictional PS No.12, Hyderabad",Hyderabad,Telangana,LOCATION-012
CASE-237,Synthetic Case Record 237 — Kidnapping — Bengaluru Urban,Kidnapping,IPC 363,FIR-SYNTH-BEN-0237,2024-01-11,"Synthetic case record regarding kidnapping in fictional scenario 237. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",CLOSED,"Fictional PS No.12, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-029
CASE-238,Synthetic Case Record 238 — Assault — Bengaluru Rural,Assault,IPC 323,FIR-SYNTH-BEN-0238,2022-10-18,"Synthetic case record regarding assault in fictional scenario 238. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",CLOSED,"Fictional PS No.5, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-030
CASE-239,Synthetic Case Record 239 — Cybercrime — Lucknow,Cybercrime,IT Act 66C,FIR-SYNTH-LUC-0239,2022-08-17,"Synthetic case record regarding cybercrime in fictional scenario 239. District: Lucknow, State: Uttar Pradesh. For demonstration purposes only.",CLOSED,"Fictional PS No.10, Lucknow",Lucknow,Uttar Pradesh,LOCATION-031
CASE-240,Synthetic Case Record 240 — Assault — Raipur,Assault,IPC 323,FIR-SYNTH-RAI-0240,2025-02-07,"Synthetic case record regarding assault in fictional scenario 240. District: Raipur, State: Chhattisgarh. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.11, Raipur",Raipur,Chhattisgarh,LOCATION-008
CASE-241,Synthetic Case Record 241 — Property Offence — Mumbai Suburban,Property Offence,IPC 425,FIR-SYNTH-MUM-0241,2022-09-23,"Synthetic case record regarding property offence in fictional scenario 241. District: Mumbai Suburban, State: Maharashtra. For demonstration purposes only.",OPEN,"Fictional PS No.18, Mumbai",Mumbai Suburban,Maharashtra,LOCATION-008
CASE-242,Synthetic Case Record 242 — Robbery — Bengaluru Urban,Robbery,IPC 392,FIR-SYNTH-BEN-0242,2024-05-30,"Synthetic case record regarding robbery in fictional scenario 242. District: Bengaluru Urban, State: Karnataka. For demonstration purposes only.",CLOSED,"Fictional PS No.11, Bengaluru",Bengaluru Urban,Karnataka,LOCATION-004
CASE-243,Synthetic Case Record 243 — Fraud — North Delhi,Fraud,IPC 420,FIR-SYNTH-NOR-0243,2024-01-08,"Synthetic case record regarding fraud in fictional scenario 243. District: North Delhi, State: Delhi. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.1, Delhi",North Delhi,Delhi,LOCATION-006
CASE-244,Synthetic Case Record 244 — Burglary — Howrah,Burglary,IPC 457,FIR-SYNTH-HOW-0244,2023-10-02,"Synthetic case record regarding burglary in fictional scenario 244. District: Howrah, State: West Bengal. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.13, Howrah",Howrah,West Bengal,LOCATION-013
CASE-245,Synthetic Case Record 245 — Kidnapping — Bengaluru Rural,Kidnapping,IPC 363,FIR-SYNTH-BEN-0245,2023-03-02,"Synthetic case record regarding kidnapping in fictional scenario 245. District: Bengaluru Rural, State: Karnataka. For demonstration purposes only.",UNDER INVESTIGATION,"Fictional PS No.14, Bengaluru",Bengaluru Rural,Karnataka,LOCATION-024
CASE-246,Synthetic Case Record 246 — Criminal Intimidation — Hyderabad,Criminal Intimidation,IPC 506,FIR-SYNTH-HYD-0246,2022-03-18,"Synthetic case record regarding criminal intimidation in fictional scenario 246. District: Hyderabad, State: Telangana. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.18, Hyderabad",Hyderabad,Telangana,LOCATION-006
CASE-247,Synthetic Case Record 247 — Forgery — Chennai,Forgery,IPC 465,FIR-SYNTH-CHE-0247,2021-12-02,"Synthetic case record regarding forgery in fictional scenario 247. District: Chennai, State: Tamil Nadu. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.15, Chennai",Chennai,Tamil Nadu,LOCATION-019
CASE-248,Synthetic Case Record 248 — Kidnapping — Chennai,Kidnapping,IPC 363,FIR-SYNTH-CHE-0248,2021-06-26,"Synthetic case record regarding kidnapping in fictional scenario 248. District: Chennai, State: Tamil Nadu. For demonstration purposes only.",CLOSED,"Fictional PS No.19, Chennai",Chennai,Tamil Nadu,LOCATION-039
CASE-249,Synthetic Case Record 249 — Extortion — Howrah,Extortion,IPC 384,FIR-SYNTH-HOW-0249,2021-01-14,"Synthetic case record regarding extortion in fictional scenario 249. District: Howrah, State: West Bengal. For demonstration purposes only.",CHARGESHEETED,"Fictional PS No.13, Howrah",Howrah,West Bengal,LOCATION-006
